Date Executed,Period Date For Workload,Period Type,Client,DB,System ID,OS,SAP Release,Hostname,,,,,,,,,,,
/BSNAGT/PICK_FILES,1,1,1343,68,0.042,0,0,0.002,0,0.044,T,File Pick-up,LO,Connector for SAP Multi-Bank Connectivit,Application Components->LOD Components->SAP Multi-Bank Connectivity->Connector for SAP Multi-Bank Connectivit->/BSNAGT/PICK_FILES(File Pick-up),SAP->LOD->LOD-FSN->LOD-FSN-AGT->/BSNAGT/,,,
SP02,1,37,13804,18,0.042,0.001,0.001,0,0,0.044,T,Display Spool Requests,BC,Print and Output Management,Application Components->Basis Components->Use Subcomponents->Print and Output Management->SP02(Display Spool Requests),SAP->BC->BC-CCM->BC-CCM-PRN->SP02(Displa,,,
SAPSIMPLE_TREE,1,12,1245,68,0.042,0,0,0.002,0,0.044,T,Testtransaktion  für Simple Tree,BC,SAP Internet Transaction Server,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->SAPSIMPLE_TREE(Testtransaktion  für Simple Tree),SAP->BC->BC-FES->BC-FES-ITS->SAPSIMPLE_T,,,
SAPCOLUMN_TREE,1,12,1196,78,0.042,0,0,0.002,0,0.044,T,Testtransaktion  für Column Tree,BC,SAP Internet Transaction Server,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->SAPCOLUMN_TREE(Testtransaktion  für Column Tree),SAP->BC->BC-FES->BC-FES-ITS->SAPCOLUMN_T,,,
MDG_DATA_MODEL,1,17,4834,72,0.042,0,0,0.002,0,0.044,T,MDG Data Model: Generated Tables,CA,Application Framework,Application Components->Cross-Application Components->Master Data Governance->Application Framework->MDG_DATA_MODEL(MDG Data Model: Generated Tables),SAP->CA->CA-MDG->CA-MDG-AF->MDG_DATA_MOD,,,
FBV1,1,1,599,89,0.042,0,0,0.002,0,0.044,T,Park Document,FI,Financial Accounting,Application Components->Financial Accounting->FBV1(Park Document),SAP->FI->FBV1(Park Document),,,
XD99,1,130,2861,0,0.042,0.002,0,0,0,0.044,T,Customer master mass maintenance,LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->XD99(Customer master mass maintenance),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->X,,,
PB10,1,2,2632,96,0.042,0,0,0.002,0,0.044,T,Init.entry of applicant master data,PA,Recruitment,Application Components->Personnel Management->Recruitment->PB10(Init.entry of applicant master data),SAP->PA->PA-RC->PB10(Init.entry of appli,,,
PA40,1,1,3270,96,0.042,0,0,0.002,0,0.044,T,Personnel Actions,PA,Personnel Administration,Application Components->Personnel Management->Personnel Administration->PA40(Personnel Actions),SAP->PA->PA-PA->PA40(Personnel Actions),,,
PRST,1,1,1,105,0.042,0,0,0.002,0,0.044,T,Period Statistics,PE,Period Statistics,Application Components->Training and Event Management->Period Statistics->PRST(Period Statistics),SAP->PE->FI-TV-COS->PRST(Period Statisti,,,
VCUST,1,23,1521,107,0.042,0,0,0.002,0,0.044,T,Customer List,SD,Sales,Application Components->Sales and Distribution->Sales->VCUST(Customer List),SAP->SD->SD-SLS->VCUST(Customer List),,,
PA51,1,18,8647,96,0.042,0,0,0.002,0,0.044,T,Display Time Data,PT,Personnel Time Management,Application Components->Personnel Time Management->PA51(Display Time Data),SAP->PT->PA51(Display Time Data),,,
KAH3,1,3,2,27093,0.042,0.001,0,0,0.0009,0.0439,W,Display cost element group,CO,Controlling,Application Components->Controlling->Overhead Cost Controlling->KAH3(Display cost element group),CO-OM,,,
UKM_MASS_UPD4,1,2,2,0,0.042,0.001,0,0,0.0009,0.0439,W,Credit Mgt: Mass Change to Rule,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_MASS_UPD4(Credit Mgt: Mass Change to Rule),FIN-FSCM-CR-CR,,,
UKM_MASS_RECON,1,2,2,0,0.042,0.001,0,0,0.0009,0.0439,W,Credit Exposure Reconciliation,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_MASS_RECON(Credit Exposure Reconciliation),FIN-FSCM-CR-CR,,,
FSEPA_M1,1,2,2,0,0.042,0.001,0,0,0.0009,0.0439,W,SEPA: Create Mandate,CA,Cross-Application Components,Application Components->Cross-Application Components->Bank->FSEPA_M1(SEPA: Create Mandate),CA-BK,,,
DRF_MANUAL_REPLICATION,1,2,4,0,0.042,0.001,0,0,0.0009,0.0439,W,Manual Replication,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Data Replication Framework->DRF_MANUAL_REPLICATION(Manual Replication),CA-MDG-DRF,,,
fin.cash.brm.sentitems,1,1,1,23698,0.042,0,0,0,0.00165,0.04365,F,My Sent Items about Bank Accounts,FIN,Financials,Application Components->Financials->Fiori UI for Financials->Fiori UI for Cash and Liquidity Management->fin.cash.brm.sentitems(My Sent Items about Bank Accounts),FIN-FIO-CLM,,,
fin.cons.genriclog,1,1,2,31616,0.042,0,0,0,0.00165,0.04365,F,Generic Log,FIN,Financials,Application Components->Financials->S4HANA Financial Consolidation[Cloud]->S/4HANA Financial Consolidation, Core Processing->S/4HANA Financial Consolidation, Core Processing->fin.cons.genriclog(Generi,FIN-CS-COR-IS,
MDG_BS_CONVERTOR,1,2,4,691,0.042,0.001,0,0,0.0006,0.0436,W,Convert Master Data,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Mass Load->MDG_BS_CONVERTOR(Convert Master Data),CA-MDG-ML,,,
LO_OIF_MAIN_APP,1,2,10,691,0.042,0.001,0,0,0.0006,0.0436,W,Sales Document Processing,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->LO_OIF_MAIN_APP(Sales Document Processing),SD-SLS,,,
/CPD/PWS_RCB_BPM_APPL,1,2,4,1291,0.042,0.001,0,0,0.0006,0.0436,W,Billing Plan Manager,CA,Cross-Application Components,Application Components->Cross-Application Components->Commercial Project Management->Commercial Project Management  - Project Workspace->/CPD/PWS_RCB_BPM_APPL(Billing Plan Manager),CA-CPD-WS,,,
MD11,1,2,1,9796,0.042,0.001,0,0,0.0006,0.0436,W,Create Planned Order,PP,Production Planning and Control,Application Components->Production Planning and Control->Material Requirements Planning->Master Data->MD11(Create Planned Order),PP-MRP-BD,,,
COR1,1,2,2,11943,0.042,0.001,0,0,0.0006,0.0436,W,Create Process Order,PP,Production Planning and Control,Application Components->Production Planning and Control->Production Planning for Process Industries->Process Order->COR1(Create Process Order),PP-PI-POR,,,
mdm.cmd.cmpcustomizings1,1,1,2,20984,0.042,0,0,0,0.0015,0.0435,F,MDC Customizing,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Consolidation & Mass Processing->Consolidation & Mass Processing->mdm.cmd.cmpcustomizings1(MDC Customizing),CA-MDG-CMP-FIO,,,
S000,1,2,1,28645,0.042,0.001,0,0,0.00045,0.04345,W,System Menu,CA,Cross-Application Components,Application Components->Cross-Application Components->Global Organization Customizing->S000(System Menu),CA-CUS,,,
VF03,1,2,1,40804,0.042,0.001,0,0,0.00045,0.04345,W,Display Billing Documents,SD,Sales and Distribution,Application Components->Sales and Distribution->Billing->VF03(Display Billing Documents),SD-BIL,,,
fin.ap.paymentproposal.revise,1,1,1,37157,0.042,0,0,0,0.0012,0.0432,F,Fiori App - Revise Payment Proposal - BS,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.paymentproposal.revise(Fiori App - Revise Payment Proposal - BS),FI-FIO-AP,,,
fin.cons.jrnlentr.upload,1,1,1,21660,0.042,0,0,0,0.00105,0.04305,F,Import Consolidation Journal Entries,FIN,Financials,Application Components->Financials->S4HANA Financial Consolidation[Cloud]->fin.cons.jrnlentr.upload(Import Consolidation Journal Entries),FIN-CS,,,
SCASE,1,2,5148,56,0.042,0,0,0.001,0,0.043,T,Case Management,BC,Case Management,Application Components->Basis Components->Basis Services / Communication Interfaces->Case Management->SCASE(Case Management),SAP->BC->BC-SRV->BC-SRV-CM->SCASE(Case M,,,
/IWBEP/REG_SERVICE,1,2,1105,50,0.042,0,0,0.001,0,0.043,T,Maintain Service,OP,Gateway SAP Data Enablement,Application Components->Occasional Platform User->Gateway Business Suite Enablement->Gateway SAP Data Enablement->/IWBEP/REG_SERVICE(Maintain Service),SAP->OPU->OPU-BSE->OPU-BSE-SDE->/IWBEP/R,,,
OMSF,1,62,3458,0,0.042,0.001,0,0,0,0.043,T,C MM-BD Material Groups,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->OMSF(C MM-BD Material Groups),SAP->LO->LO-MD->LO-MD-MM->OMSF(C MM-BD M,,,
CG3Y,1,11,15130,4,0.042,0,0.001,0,0,0.043,T,Download file,EH,Product Safety,Application Components->Environment  Health and Safety->Product Safety->CG3Y(Download file),SAP->EHS->EHS-SAF->CG3Y(Download file),,,
SLICENSE,1,1,299,43,0.042,0,0,0.001,0,0.043,T,Administer SAP Licenses,BC,User and Authorization Management,Application Components->Basis Components->Security->User Administration->User and Authorization Management->SLICENSE(Administer SAP Licenses),SAP->BC->BC-SEC->BC-SEC-USR->BC-SEC-USR-,,,
OBZ4,1,35,519,4,0.042,0.001,0,0,0,0.043,T,C FI FBZP T042E,FI,Basic Functions,Application Components->Financial Accounting->Accounts Receivable->Basic Functions->OBZ4(C FI FBZP T042E),SAP->FI->FI-AR->FI-AR-AR->OBZ4(C FI FBZP,,,
FBZP,1,2,165,26,0.042,0,0,0.001,0,0.043,T,Maintain Pmnt Program Configuration,FI,Financial Accounting,Application Components->Financial Accounting->FBZP(Maintain Pmnt Program Configuration),SAP->FI->FBZP(Maintain Pmnt Program Conf,,,
UKM_COMMITMENTS,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Credit Exposure,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_COMMITMENTS(Credit Exposure),FIN-FSCM-CR-CR,,,
UKM_CASE,1,1,6,0,0.042,0,0,0,0.00045,0.04245,W,Cases in SAP Credit Management,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_CASE(Cases in SAP Credit Management),FIN-FSCM-CR-CR,,,
REISCNRN,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Infosystem: Renewal of Contracts,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->Information System->REISCNRN(Infosystem: Renewal of Contracts),RE-FX-IS,,,
REISCNPE,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Infosystem: Term of Contracts,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->Information System->REISCNPE(Infosystem: Term of Contracts),RE-FX-IS,,,
REISCNOA,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Info System: Objects for Contracts,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->Information System->REISCNOA(Info System: Objects for Contracts),RE-FX-IS,,,
CPROJECTS_SETTINGS_FPM,1,1,6,0,0.042,0,0,0,0.00045,0.04245,W,Project Management  - User Settings,PPM,Portfolio and Project Management,Application Components->Portfolio and Project Management->Project Management->CPROJECTS_SETTINGS_FPM(Project Management  - User Settings),PPM-PRO,,,
RECEISBALANCE,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Display Valuation Balances,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->RECEISBALANCE(Display Valuation Balances),RE-FX,,,
REAJAHCN,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Adjustments on Contracts,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->Rent Adjustment->REAJAHCN(Adjustments on Contracts),RE-FX-AJ,,,
FSEPA_M4_FIN,1,1,3,0,0.042,0,0,0,0.00045,0.04245,W,SEPA: List Mandates - Financials,FI,Financial Accounting,Application Components->Financial Accounting->Accounts Receivable->Basic Functions->Payment Transactions->FSEPA_M4_FIN(SEPA: List Mandates - Financials),FI-AR-AR-PT,,,
FF_5,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Import Electronic Bank Statement,FI,Financial Accounting,Application Components->Financial Accounting->Bank Accounting->Payment Transactions->Bank Statement->FF_5(Import Electronic Bank Statement),FI-BL-PT-BS,,,
FF.5,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Import Electronic Bank Statement,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->SAP Cash Management->Cash Management->Basic Functions->FF.5(Import Electronic Bank Statement),FIN-FSCM-CLM-CM-CM,,,
FCLOCOT,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Fin. Closing cockpit–Preparation,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->Financial Closing cockpit Add-on->FCLOCOT(Fin. Closing cockpit–Preparation),CA-GTF-FCC,,,
VLPODL,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Worklist: POD Deliveries,LE,Logistics Execution,Application Components->Logistics Execution->Shipping->VLPODL(Worklist: POD Deliveries),LE-SHP,,,
FCLOCOC,1,1,3,0,0.042,0,0,0,0.00045,0.04245,W,Fin. Closing cockpit–Customizing,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->Financial Closing cockpit Add-on->FCLOCOC(Fin. Closing cockpit–Customizing),CA-GTF-FCC,,,
FAGL_FCC_WD_POWL,1,1,4,0,0.042,0,0,0,0.00045,0.04245,W,Financial Closing Cockpit -- Tasklist,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->Financial Closing cockpit Add-on->FAGL_FCC_WD_POWL(Financial Closing Cockpit -- Tasklist),CA-GTF-FCC,,,
MM90,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Analyze ALE Appl. Log for MatMaster,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM90(Analyze ALE Appl. Log for MatMaster),LO-MD-MM,,,
UKM_BP,1,1,4,0,0.042,0,0,0,0.00045,0.04245,W,Credit Management Business Partner,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_BP(Credit Management Business Partner),FIN-FSCM-CR-CR,,,
USMD_EDITION_COMPARE,1,1,3,0,0.042,0,0,0,0.00045,0.04245,W,Edition Comparison,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_EDITION_COMPARE(Edition Comparison),CA-MDG-AF,,,
FPL9,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Account Balance,FI,Financial Accounting,Application Components->Financial Accounting->Contract Accounts Receivable and Payable->FPL9(Account Balance),FI-CA,,,
/CPD/AVR_COST_MP_OVP,1,1,3,0,0.042,0,0,0,0.00045,0.04245,W,Analytics Chart: Cost Status Report,CA,Cross-Application Components,Application Components->Cross-Application Components->Commercial Project Management->Commercial Project Management  - Financial Planning->/CPD/AVR_COST_MP_OVP(Analytics Chart: Cost Status Report),CA-CPD-FP,,,
/CPD/WDA_FIN_PLANNING_APPL,1,1,4,0,0.042,0,0,0,0.00045,0.04245,W,Financial Planning Application,CA,Cross-Application Components,Application Components->Cross-Application Components->Commercial Project Management->Commercial Project Management  - Financial Planning->/CPD/WDA_FIN_PLANNING_APPL(Financial Planning Application),CA-CPD-FP,,,
FD09,1,1,0,0,0.042,0,0,0,0.00045,0.04245,W,Confirm Customer List (Accounting),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->FD09(Confirm Customer List (Accounting)),LO-MD-BP-CM,,,
RECARSGENCN,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Generate Dates for Contracts,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->RECARSGENCN(Generate Dates for Contracts),RE-FX,,,
ME5A,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Purchase Requisitions: List Display,MM,Materials Management,Application Components->Materials Management->Purchasing->ME5A(Purchase Requisitions: List Display),MM-PUR,,,
VL10B,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Purchase Orders Due for Delivery,LE,Logistics Execution,Application Components->Logistics Execution->Shipping->VL10B(Purchase Orders Due for Delivery),LE-SHP,,,
F13E,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Automatic Clearing With Currency,FI,Financial Accounting,Application Components->Financial Accounting->F13E(Automatic Clearing With Currency),FI,,,
UKM_MASS_DSP1,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Credit Mgt: Display Credit Data,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_MASS_DSP1(Credit Mgt: Display Credit Data),FIN-FSCM-CR-CR,,,
UKM_MASS_DSP2,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Credit Mgt: Display BP Credit Data,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_MASS_DSP2(Credit Mgt: Display BP Credit Data),FIN-FSCM-CR-CR,,,
UKM_MY_DCDS,1,1,3,0,0.042,0,0,0,0.00045,0.04245,W,Documented Credit Decisions,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_MY_DCDS(Documented Credit Decisions),FIN-FSCM-CR-CR,,,
FP45,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Process Payment Order Lot,FI,Financial Accounting,Application Components->Financial Accounting->Contract Accounts Receivable and Payable->FP45(Process Payment Order Lot),FI-CA,,,
UKM_VECTORS,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Payment Behavior Summary,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->Credit Management->Basic Functions->UKM_VECTORS(Payment Behavior Summary),FIN-FSCM-CR-CR,,,
CXGP,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Global parameters,EC,Enterprise Controlling,Application Components->Enterprise Controlling->Consolidation->CXGP(Global parameters),EC-CS,,,
USMD_WF_NAVIGATION,1,1,3,0,0.042,0,0,0,0.00045,0.04245,W,Workflow-Based Navigation,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_WF_NAVIGATION(Workflow-Based Navigation),CA-MDG-AF,,,
CXCD,1,1,5,0,0.042,0,0,0,0.00045,0.04245,W,Data Monitor,EC,Enterprise Controlling,Application Components->Enterprise Controlling->Consolidation->CXCD(Data Monitor),EC-CS,,,
CXA0,1,1,3,0,0.042,0,0,0,0.00045,0.04245,W,Mass reversal,EC,Enterprise Controlling,Application Components->Enterprise Controlling->Consolidation->CXA0(Mass reversal),EC-CS,,,
CX8CCI,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Consistency Check FI Integration,EC,Enterprise Controlling,Application Components->Enterprise Controlling->Consolidation->CX8CCI(Consistency Check FI Integration),EC-CS,,,
CX1P,1,1,2,0,0.042,0,0,0,0.00045,0.04245,W,Create consolidation group,EC,Enterprise Controlling,Application Components->Enterprise Controlling->Consolidation->CX1P(Create consolidation group),EC-CS,,,
FK09,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,Confirm Vendor List (Accounting),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK09(Confirm Vendor List (Accounting)),LO-MD-BP-VM,,,
FSEPA_M3,1,1,1,0,0.042,0,0,0,0.00045,0.04245,W,SEPA: Display Mandate,CA,Cross-Application Components,Application Components->Cross-Application Components->Bank->FSEPA_M3(SEPA: Display Mandate),CA-BK,,,
WDA_FCLM_BAM_HIERARCHY,1,1,7,0,0.042,0,0,0,0.00045,0.04245,W,Bank Account Hierarchy,FIN,Financials,Application Components->Financials->Financial Supply Chain Management->SAP Cash Management->WDA_FCLM_BAM_HIERARCHY(Bank Account Hierarchy),FIN-FSCM-CLM,,,
USMD_SEARCH,1,1,4,0,0.042,0,0,0,0.00045,0.04245,W,MDG Generic Search,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_SEARCH(MDG Generic Search),CA-MDG-AF,,,
FB00,1,1,1,47036,0.042,0,0,0,0.00015,0.04215,W,Accounting Editing Options,FI,Financial Accounting,Application Components->Financial Accounting->FB00(Accounting Editing Options),FI,,,
k1476947554302,1,1,0,1366,0.042,0,0,0,0.00015,0.04215,F,FIORI LANDING PAGE,FIO,UI5,Application Components->Fiori UI  for Accounts Receivable->k1476947554302(FIORI LANDING PAGE),FIO,,,
FBL3N,1,1,1,10302,0.042,0,0,0,0.00015,0.04215,W,G/L Account Line Items,FI,Financial Accounting,Application Components->Financial Accounting->General Ledger Accounting->Information System->FBL3N(G/L Account Line Items),FI-GL-IS,,,
AS11,1,1,0,12362,0.042,0,0,0,0.00015,0.04215,W,Create Asset Subnumber,FI,Financial Accounting,Application Components->Financial Accounting->Asset Accounting->Basic Functions->AS11(Create Asset Subnumber),FI-AA-AA,,,
SO00,1,1,0,17510,0.042,0,0,0,0.00015,0.04215,W,SAPoffice: Short Message,BC,Basis Components,Application Components->Basis Components->Basis Services / Communication Interfaces->Communication Services: Mail, Fax, SMS, Telephony->SO00(SAPoffice: Short Message),BC-SRV-COM
/BSNAGT/FILE_MONI,1,1,0,18670,0.042,0,0,0,0.00015,0.04215,W,Connector Monitor,LOD,LOD Components,Application Components->LOD Components->SAP Multi-Bank Connectivity->Connector for SAP Multi-Bank Connectivity->/BSNAGT/FILE_MONI(Connector Monitor),LOD-FSN-AGT,,,
/BSNAGT/MSG_PULL,1,1,0,18575,0.042,0,0,0,0.00015,0.04215,W,Pull FSN Messages,LOD,LOD Components,Application Components->LOD Components->SAP Multi-Bank Connectivity->Connector for SAP Multi-Bank Connectivity->/BSNAGT/MSG_PULL(Pull FSN Messages),LOD-FSN-AGT,,,
S_AHR_61016408,1,1,0,18250,0.042,0,0,0,0.00015,0.04215,W,Travel Expense Reporting by Period,CA,Cross-Application Components,Application Components->Cross-Application Components->S_AHR_61016408(Travel Expense Reporting by Period),CA,,,
SES_ADMIN,1,1,0,18422,0.042,0,0,0,0.00015,0.04215,W,Search Engine Service: Admin,BC,Basis Components,Application Components->Basis Components->TREX->TREX Search Engine Service->SES_ADMIN(Search Engine Service: Admin),BC-TRX-SES,,,
MCE3,1,1,0,23572,0.042,0,0,0,0.00015,0.04215,W,PURCHIS: Supplier Analysis Selection,MM,Materials Management,Application Components->Materials Management->Information System->Purchasing Information System->MCE3(PURCHIS: Supplier Analysis Selection),MM-IS-PU,,,
SE16N,1,1,0,23947,0.042,0,0,0,0.00015,0.04215,W,General Table Display,CO,Controlling,Application Components->Controlling->SE16N(General Table Display),CO,,,
SE38N,1,1,226,0,0.042,0,0,0,0,0.042,T,SE38 with Default RDELALOG,CA,Cross-Application Components,Application Components->Cross-Application Components->SE38N(SE38 with Default RDELALOG),SAP->CA->SE38N(SE38 with Default RDELALO,,,
OB10,1,1,320,0,0.042,0,0,0,0,0.042,T,C FI Maintain Table T049L,FI,Basic Functions,Application Components->Financial Accounting->Accounts Receivable->Basic Functions->OB10(C FI Maintain Table T049L),SAP->FI->FI-AR->FI-AR-AR->OB10(C FI Main,,,
GJGO,1,1,1,1,0.042,0,0,0,0,0.042,T,Driver transaction for customizing,CA,Joint Venture und Production Sharing Acc,Application Components->Cross-Application Components->Joint Venture und Production Sharing Acc->GJGO(Driver transaction for customizing),SAP->CA->CA-JVA->GJGO(Driver transaction,,,
OX10,1,1,481,0,0.042,0,0,0,0,0.042,T,Customize plant,MM,Inventory Management,Application Components->Materials Management->Inventory Management->OX10(Customize plant),SAP->MM->MM-IM->OX10(Customize plant),,,
SST0,1,1,272,4,0.042,0,0,0,0,0.042,T,Project Analysis in Customizing,BC,Implementation Guide,Application Components->Basis Components->Customizing (Use Subcomponents)->Customizing Tools (Techniques): Use Subcomponents->Implementation Guide->SST0(Project Analysis in Customizing),SAP->BC->BC-CUS->BC-CUS-TOL->BC-CUS-TOL-,,,
PSANR,1,1,1805,0,0.042,0,0,0,0,0.042,T,PSA Document Number,CA,Joint Venture und Production Sharing Acc,Application Components->Cross-Application Components->Joint Venture und Production Sharing Acc->PSANR(PSA Document Number),SAP->CA->CA-JVA->PSANR(PSA Document Numb,,,
OB62,1,3,1332,0,0.042,0,0,0,0,0.042,T,C FI Maintain Table T001 (KTOPL + 2),FI,Basic Functions,Application Components->Financial Accounting->Accounts Receivable->Basic Functions->OB62(C FI Maintain Table T001 (KTOPL + 2)),SAP->FI->FI-AR->FI-AR-AR->OB62(C FI Main,,,
OP40,1,3,1301,0,0.042,0,0,0,0,0.042,T,Maintain Work Center Category,PP,Routing,Application Components->Production Planning and Control->Basic Data->Routing->OP40(Maintain Work Center Category),SAP->PP->PP-BD->PP-BD-RTG->OP40(Maintain,,,
S_AHR_61016280,1,6,1601,0,0.042,0,0,0,0,0.042,T,Overview of Flights by Airlines,CA,Cross-Application Components,Application Components->Cross-Application Components->S_AHR_61016280(Overview of Flights by Airlines),SAP->CA->S_AHR_61016280(Overview of Flig,,,
SEARCH_SAP_MENU,1,1,1155,4,0.042,0,0,0,0,0.042,T,Find in SAP Menu,BC,Session Manager,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Session Manager->SEARCH_SAP_MENU(Find in SAP Menu),SAP->BC->BC-DWB->BC-DWB-SEM->SEARCH_SAP_,,,
S_AHR_61016279,1,6,1154,0,0.042,0,0,0,0,0.042,T,Overview of Flights by Airlines,CA,Cross-Application Components,Application Components->Cross-Application Components->S_AHR_61016279(Overview of Flights by Airlines),SAP->CA->S_AHR_61016279(Overview of Flig,,,
OLE,1,3,2592,3,0.042,0,0,0,0,0.042,T,OLE demo transaction,BC,SAP GUI for Windows Controls,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP GUI for Windows Controls->OLE(OLE demo transaction),SAP->BC->BC-FES->BC-FES-CTL->OLE(OLE dem,,,
SE30,1,1,790,7,0.042,0,0,0,0,0.042,T,ABAP Objects Runtime Analysis,BC,Runtime Analysis,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->Runtime Analysis->SE30(ABAP Objects Runtime Analysis),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
S_ALR_87014279,1,8,1870,0,0.042,0,0,0,0,0.042,T,Travel Expense Reporting by Period,CA,Cross-Application Components,Application Components->Cross-Application Components->S_ALR_87014279(Travel Expense Reporting by Period),SAP->CA->S_ALR_87014279(Travel Expense R,,,
RSDEMO02,1,5,8,6,0.042,0,0,0,0,0.042,T,Testtransaction Table Control,BC,SAP Internet Transaction Server,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->RSDEMO02(Testtransaction Table Control),SAP->BC->BC-FES->BC-FES-ITS->RSDEMO02(Te,,,
SWUI,1,1,7816,0,0.042,0,0,0,0,0.042,T,Start Workflow,BC,SAP Business Workflow,Application Components->Basis Components->Business Management->SAP Business Workflow->SWUI(Start Workflow),SAP->BC->BC-BMT->BC-BMT-WFM->SWUI(Start,,,
MEAN,1,27,517,0,0.042,0,0,0,0,0.042,T,Delivery Addresses,MM,Purchasing,Application Components->Materials Management->Purchasing->MEAN(Delivery Addresses),SAP->MM->MM-PUR->MEAN(Delivery Addresses,,,
GRAL,1,12,2541,4,0.042,0,0,0,0,0.042,T,Calling SAP Graphics demos,BC,Graphic,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->Graphic->GRAL(Calling SAP Graphics demos),SAP->BC->BC-FES->BC-FES-GRA->GRAL(Callin,,,
SWIE,1,1,580,17,0.042,0,0,0,0,0.042,T,Unlock Work Item,BC,SAP Business Workflow,Application Components->Basis Components->Business Management->SAP Business Workflow->SWIE(Unlock Work Item),SAP->BC->BC-BMT->BC-BMT-WFM->SWIE(Unlock,,,
